CODIGO,DESCRIPCION
345,ROJO ROANNE
346,ROJO RUBI
347,ROJO RUBIANO
348,ROJO SAHARA
349,ROJO SCARLATA
350,ROJO SEVILLA
351,ROJO SPORT
447,ROJO SUPER
61,ROJO TERRANOVA
352,ROJO TIZIANO
353,ROJO TOMATE
354,ROJO TORINO
355,ROJO TORNADO
356,ROJO VERSALLES
357,ROJO VINO
358,ROJO VIVO
437,ROJO Y
949,ROSA AMABLE
950,ROSA AMABLE MICA
67,ROSADO
359,ROUGE FURIA
360,ROUGE GRIOTTE
36,ROUGE MANDARINE
951,ROYAL WINE
952,RUBINO
953,RUBINO
954,SALMON BLANCO Y NIQUEL
93,SAMOABLAU
92,SANDALO
90,SANDALO WOOD
361,SCARLET RED
469,SEVERRING BLUE
74,SILICE TORNADO
362,SILVER
363,SILVER CLARO
955,SILVER LINNING
999,SIN COLOR
956,SOLAR PLATA
364,SORRENTO METALI
957,STEEL GRAY
446,STRATO PERLA
75,STRATO PLATA
958,SUPER BLANCO
959,SUPER PLATA
960,SUPER ROJO
59,TABACO
961,TANGERINE
962,TEAL GREEN
963,TECHNO SILVER
60,TERRACOTA
463,TIERRA REAL
964,TITANIUM
965,TOMATO MICA
966,TOPACIO
79,TREL GREEN
967,TUGSTENO METALICO
968,TURQUESA DEL CARIBE
969,TURQUESA METALICO
970,TURQUESA OSCURO METAL
78,TURQUEZA
971,ULTRA PLATA
365,UVA
972,UVA CON DORADO
366,UVA METALICO
973,UVA METALIZADO
974,UVA OSCURO METALIZADO
975,UVA Y NEGRO
64,VERDE
1,VERDE ACEITUNA
2,VERDE ACERO
3,VERDE ACUARELA
9,VERDE ACUARIOS
34,VERDE ALAMO
54,VERDE AMAZONIE
63,VERDE AMERICA
367,VERDE ANDINO
368,VERDE ARRECIFE
369,VERDE ASTORIA
370,VERDE AVENTURA
371,VERDE CACTUS
56,VERDE CIPRES
372,VERDE CRISTAL
373,VERDE ESCANDINA
374,VERDE ESMERALDA
375,VERDE ESTELAR
376,VERDE FLORESTA
377,VERDE GALAXIA
58,VERDE GRISOSO
378,VERDE INGLES
379,VERDE ISLA
33,VERDE JADE
380,VERDE JARDIN
381,VERDE JAVA
382,VERDE KIELDER
383,VERDE LIQUEN
384,VERDE MALAGA
385,VERDE MALAQUITA
386,VERDE MANZANA
387,VERDE MAR
388,VERDE MARFIL
460,VERDE MARQUES
389,VERDE MAYERLING
417,VERDE MEDIO
38,VERDE MENTA
390,VERDE METALIZAS
391,VERDE MICA
392,VERDE MONTANA
393,VERDE MOSEL
394,VERDE MUSGO
395,VERDE NAUSICAA
396,VERDE OLIVA
397,VERDE OPALO
398,VERDE OSCURO
46,VERDE OTONAL
399,VERDE PERLADO
400,VERDE PETROLEO
401,VERDE PRIMAVERA
458,VERDE REGATA
57,VERDE SECO
402,VERDE SELVA
403,VERDE SHETLAND
